"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2634","login without username and password","chromium","2026-05-16","passed","2026-05-16","Login","","",""
"","3995","Failed login with valid username and invalid password","firefox","2026-05-16","passed","2026-05-16","Login","","",""
"","2474","Failed login with only password","firefox","2026-05-16","passed","2026-05-16","Login","","",""
"","2391","Failed login with only password","chromium","2026-05-16","passed","2026-05-16","Login","","",""
"","3431","Login success with valid credentials","chromium","2026-05-16","passed","2026-05-16","Login","","",""
"","3379","Failed login with valid username and invalid password","chromium","2026-05-16","passed","2026-05-16","Login","","",""
"","3082","login without username and password","firefox","2026-05-16","passed","2026-05-16","Login","","",""
"","2381","Failed login with invalid username","firefox","2026-05-16","passed","2026-05-16","Login","","",""
"","4340","Login success with valid credentials","firefox","2026-05-16","passed","2026-05-16","Login","","",""
"","2471","Failed login with invalid username","chromium","2026-05-16","passed","2026-05-16","Login","","",""
